Iter,RawNAG,SigmoidNAG,SigmoidNAGQG
0,0.23025850929940453,-50537.36093462561,-50537.36093462561
1,0.22424993238344024,-26954.376308920546,-50072.86848677053
2,2.9338218175442,-inf,-41957.60474021323
3,3.388441557529673,-inf,-22785.98700766
4,3.325386234696815,-inf,-21738.64658340383
5,3.307006254082101,-inf,-21049.30745957816
6,2.9324726737186726,-inf,-20131.557026666873
7,2.872028574090884,-inf,-19183.528856195164
8,2.6437980742358262,-inf,-18295.7847218517
9,3.2140129616798827,-inf,-17537.6747287241
10,3.5804448012114736,-inf,-16902.805068838683
11,3.2403887633396717,-inf,-16304.889237718151
12,2.6756316979705974,-inf,-15693.615281866118
13,2.0763900304419516,-inf,-15089.10365718887
14,1.325019939703028,-inf,-14524.468304262316
15,1.5222980000125204,-inf,-14004.0251833807
16,1.0787659015257562,-162688.82091481888,-13512.15306432068
17,0.25265177384730725,-139053.5933147667,-13036.92556778984
18,0.8925814461580001,-119796.23481314139,-12578.552722264682
19,0.9599181960359805,-110099.03037615,-12142.702628768475
20,0.844091929965944,-140525.79083269663,-11732.03517707544
21,0.7560722905384258,-115676.06727147603,-11344.468984926889
22,0.8962804942596604,-55783.75330846183,-10976.581707866811
23,0.6202865802424381,-62446.089952378454,-10626.605475614486
24,0.6608980159420711,-62427.00640156027,-10294.608162323537
25,0.3528602920661937,-56629.80605579758,-9981.035026438294
26,0.44325703360075797,-48614.99800948867,-9685.560646236549
27,0.5057747941946038,-48426.65823150617,-9407.084428777584
28,0.34982194281003925,-54804.1193904087,-9144.356984823055
29,0.27976322163449385,-50798.16276258815,-8896.387884786818
30,0.2684302699973711,-34568.74396498756,-8662.373068668563
31,0.24984209685088665,-33711.23528420103,-8441.444559743939
32,0.26366600621396213,-36460.21147857333,-8232.581529388719
33,0.41638175362197904,-26501.131889087494,-8034.740694402262
34,0.3157459513225669,-27131.67777013673,-7847.042131124265
35,0.10217770124304522,-32365.497312959873,-7668.8315191433985
36,0.12146087840788225,-33689.02120029247,-7499.574088319483
37,0.15427620450396085,-28391.21082098681,-7338.690437515003
38,0.16506014951219125,-21043.73665437594,-7185.489200191814
39,0.1699554596740141,-17635.464667974247,-7039.249055453438
40,0.1795652957475398,-18291.681818572633,-6899.362417624111
41,0.20057725172255186,-18739.567147234557,-6765.411946009819
42,0.211250151832672,-17467.1513117518,-6637.126139553466
43,0.17353401313625313,-17379.11218917251,-6514.261710730298
44,0.11976327201389528,-18660.546476610598,-6396.504342037683
45,0.09190630929668475,-19920.555913579992,-6283.4505515606215
46,0.07817981957653203,-20257.808033312587,-6174.669973962805
47,0.07134851576599525,-17651.817335978838,-6069.79604245265
48,0.07371586272166283,-14092.659965449551,-5968.582001219076
49,0.08246036725929606,-12131.05872280903,-5870.889186317925
50,0.09098387814454247,-11901.775337034616,-5776.62233302859
51,0.09952614167456755,-12584.581276462637,-5685.659217650535
52,0.11118132911332206,-13327.153677582437,-5597.818662946666
53,0.11802765368755277,-13675.1860303412,-5512.8791239259535
54,0.11305970481227609,-13720.303769306745,-5430.6260052085945
55,0.0999647330755318,-13587.421120897521,-5350.892579699254
56,0.0839142736204388,-12929.083693832992,-5273.570708750708
57,0.06951139085164075,-11599.756289941983,-5198.590810993824
58,0.06045332865018625,-10230.662509050095,-5125.888952543655
59,0.05685964802795276,-9453.674951460582,-5055.382699090343
60,0.05685131927703352,-9348.388298792284,-4986.967402396358
61,0.05881834185375439,-9814.911471027353,-4920.529633707537
62,0.06173933619978009,-10641.040738630909,-4855.964834684571
63,0.0646331532645927,-11237.209976170248,-4793.1869897219285
64,0.06631013037410467,-10945.363190424083,-4732.126669623947
65,0.06585521283741674,-9835.20585669801,-4672.72259420953
66,0.063330735610039,-8664.823570319675,-4614.914696067172
67,0.05987267874229983,-7994.189163068484,-4558.643008433747
68,0.05696779372545609,-7854.207464773419,-4503.850814765896
69,0.05551135367111711,-8046.652251381592,-4450.487273897785
70,0.055360457307138726,-8400.181022393364,-4398.506025576415
71,0.05558873449092984,-8815.133850238797,-4347.860318278014
72,0.05517916372035155,-9190.624646101434,-4298.498552698861
73,0.05357976311713138,-9357.279690353227,-4250.364226836857
74,0.050964636743961275,-9147.54047289399,-4203.4011171189395
75,0.04823112785930449,-8571.644796531558,-4157.56049885193
76,0.04662122828264571,-7854.176729165776,-4112.805388367543
77,0.04700183439945773,-7259.571335855972,-4069.108640758501
78,0.0492339753219727,-6934.519491185302,-4026.4459534729567
79,0.05210675047475099,-6886.216532415153,-3984.788281361717
80,0.053914662493835155,-7009.349950425654,-3944.0984451884697
81,0.05344331178117562,-7136.959495863801,-3904.3337539576187
82,0.050734708518635194,-7144.247290565169,-3865.4525301476797
83,0.046933881196238765,-7033.644058074748,-3827.4201796300204
84,0.043388226132434926,-6893.597843711388,-3790.2111433196314
85,0.04090233038418044,-6785.419899238533,-3753.8059321234537
86,0.03963058751761007,-6708.212940101575,-3718.185508168017
87,0.039322196788137344,-6648.533205781155,-3683.3266619335673
88,0.03954774919246445,-6611.122807748063,-3649.2010822772622
89,0.03986572461161478,-6602.35895679675,-3615.7783083378326
90,0.03993100108701312,-6613.258378098941,-3583.0303697834515
91,0.03954119222647317,-6621.441068825193,-3550.9351053401
92,0.03866780338369709,-6596.247307386196,-3519.4762668687104
93,0.03745884249556241,-6501.821136389924,-3488.6406664306737
94,0.03618081872402754,-6311.683030282477,-3458.4143526424896
95,0.03511437407249607,-6037.481771198353,-3428.780107322293
96,0.03444853521611777,-5743.53398378992,-3399.7174639162226
97,0.03422797787801781,-5519.295769604919,-3371.2048291577994
98,0.034369003641332774,-5425.319318722241,-3343.2221843548505
99,0.034713969887991226,-5456.742309078103,-3315.7527953634853
100,0.0350936098651511,-5550.789751473418,-3288.7832109459596
101,0.0353745362585871,-5631.896120081555,-3262.30192312447
102,0.03548414216283505,-5661.346606774587,-3236.2977305735703
103,0.03541363947104343,-5650.815010033158,-3210.7587733821897
104,0.03519998872582936,-5633.434297218637,-3185.672571502527
105,0.03489586207313399,-5628.812992697995,-3161.026691134288
106,0.03454199877817495,-5632.87204186961,-3136.809342706749
107,0.034151323835513336,-5628.266716305914,-3113.009430703812
108,0.03370819749066613,-5597.004485227533,-3089.616096012893
109,0.03318185640051695,-5526.363155953799,-3066.6182146222445
110,0.032547420142161186,-5410.561385541689,-3044.0043531712063
111,0.03180345491819327,-5253.133870075117,-3021.7633364978005
112,0.030976978747911187,-5070.018931147154,-2999.8851274697754
113,0.030114200817822526,-4888.626902489464,-2978.3614610260324
114,0.02926452116149164,-4740.031728275231,-2957.1857812721873
115,0.028471921033139315,-4647.868775566951,-2936.3524224797034
116,0.0277781907179564,-4620.799389718909,-2915.855411110473
117,0.0272258437564154,-4652.049227558909,-2895.6874904869987
118,0.026850089027950694,-4723.646762313125,-2875.8398615432916
119,0.02666258625326829,-4810.846229633353,-2856.3027592418425
120,0.02663984206363511,-4886.025168747452,-2837.066552284312
121,0.026725476560448436,-4925.650230660484,-2818.122803826782
122,0.026847305673818045,-4920.376920542988,-2799.464778953452
123,0.026944719167582995,-4880.136501852362,-2781.0871938655905
124,0.02699391022732925,-4827.167786515478,-2762.985392551754
125,0.02701621810626437,-4781.813716798188,-2745.1543978604327
126,0.0270644959387265,-4752.482358680715,-2727.588298375937
127,0.027194879851007384,-4735.000971343651,-2710.2802171047056
128,0.02743767575173147,-4718.054392637279,-2693.222797613581
129,0.02777936668565618,-4689.37133872496,-2676.4089044616167
130,0.028161290503371513,-4639.894690385841,-2659.832174213022
131,0.028494120853778074,-4565.770097776619,-2643.4871772087045
132,0.028682764059401296,-4468.980931138566,-2627.369171384619
133,0.028653420433751485,-4357.2945866112395,-2611.4736308363263
134,0.028373935076712074,-4243.6377577085395,-2595.7958166241506
135,0.027861117004213343,-4144.594810432142,-2580.3305992187843
136,0.02717379921864241,-4077.6506464341874,-2565.072588510293
137,0.02639563756368736,-4057.1204510352404,-2550.0164665887824
138,0.02561454206129222,-4089.361184739739,-2535.157329675968
139,0.02490523815404121,-4168.667960833685,-2520.490863634867
140,0.024318521781107907,-4275.918536609086,-2506.0132831425863
141,0.023877267634558323,-4381.989919456278,-2491.7210898608987
142,0.023577264616299946,-4456.424538219109,-2477.6107907676674
143,0.023391224238987162,-4478.556306541072,-2463.6787201294064
144,0.02327565385881386,-4445.361064938437,-2449.9210405383524
145,0.02318078667364846,-4371.181263130742,-2436.333901385864
146,0.023062645652510656,-4279.698228119543,-2422.9136569064394
147,0.022894534778071744,-4193.516852359131,-2409.6570259810564
148,0.02267434469246437,-4126.9946638853025,-2396.5611149001206
149,0.022424939155576896,-4084.361188709775,-2383.6232970159617
150,0.022187275865360005,-4061.7882543289534,-2370.841013978942
151,0.02200853919212199,-4051.0252059487557,-2358.2115953918556
152,0.021929030284528663,-4042.84088018702,-2345.7321791237587
153,0.02197133769499482,-4029.501517637055,-2333.3997619356487
154,0.022134016195167867,-4006.204946159977,-2321.211347995063
155,0.022390679009776353,-3971.6825239222608,-2309.1641193034234
156,0.022694524001610383,-3928.1874429012337,-2297.2555481387426
157,0.022987563468221308,-3880.9682748238274,-2285.4834039966677
158,0.023212817868132517,-3837.221812219995,-2273.845659335254
159,0.023326625746543227,-3804.514909796223,-2262.3403435231685
160,0.02330774169594675,-3788.799525250733,-2250.965414295933
161,0.023160677924137847,-3792.4006607844967,-2239.7187020435626
162,0.02291262031407199,-3812.654618397678,-2228.5979448587586
163,0.022605334442197485,-3842.0282107269777,-2217.600889356244
164,0.022284854128225454,-3870.2472180454733,-2206.7254045581494
165,0.02199193055482406,-3888.0001233234007,-2195.9695538817505
166,0.021755313029395568,-3890.565146163188,-2185.331592287842
167,0.021588567734919198,-3879.300632410668,-2174.8098912530404
168,0.021490097806264832,-3860.076090787244,-2164.402826155897
169,0.02144564997863978,-3839.6933837690394,-2154.108676116503
170,0.021432619327463164,-3822.500769096868,-2143.925579163605
171,0.02142545048155054,-3808.8982904336644,-2133.8515601315485
172,0.021401223130084565,-3795.9951843134886,-2123.884617121772
173,0.021344297130202184,-3779.541569682519,-2114.022827988657
174,0.02124897307633529,-3755.9702433913108,-2104.264431198177
175,0.021119615687931727,-3723.7347048902634,-2094.6078473303924
176,0.020968431805265433,-3683.6850717489833,-2085.051633691357
177,0.020811765255698732,-3638.673267401602,-2075.5943920015443
178,0.020666078188669047,-3592.784112796114,-2066.2346672732824
179,0.02054464311526633,-3550.5503387931158,-2056.970878641521
180,0.02045551000646786,-3516.329494703704,-2047.80130857957
181,0.020400800366010663,-3493.83169693224,-2038.7241532846363
182,0.020377043137543557,-3485.6872788610945,-2029.737613425237
183,0.020376189157487457,-3492.962575465538,-2020.8399902062881
184,0.02038705045614399,-3514.6442556348097,-2012.0297515638852
185,0.020397053302588047,-3547.26290704059,-2003.3055465440375
186,0.020394232804342573,-3584.944878597623,-1994.6661660183986
187,0.020369294079281737,-3620.1755346167274,-1986.1104676868877
188,0.02031739561997691,-3645.340253890554,-1977.637295043509
189,0.02023920342903173,-3654.6952084707245,-1969.245419444463
190,0.02014082027503648,-3646.0305398262612,-1960.9335237442535
191,0.020032435327337304,-3621.25561068351,-1952.7002289985232
192,0.019925901754456632,-3585.602499993084,-1944.5441494424695
193,0.019831805762871735,-3545.83356966381,-1936.4639516774073
194,0.019756797787818418,-3508.2660089235105,-1928.458394243608
195,0.01970192463236055,-3477.3398354170986,-1920.5263328208543
196,0.019662436249656023,-3455.0300296002156,-1912.6666904795438
197,0.019629135137562443,-3440.994076655412,-1904.8784056728214
198,0.01959091675934111,-3433.1606850230046,-1897.16037850899
199,0.019537828223455615,-3428.483047995212,-1889.511435808846
200,0.01946382854827219,-3423.6810767327047,-1881.9303277922725
201,0.01936850846427115,-3415.887478824864,-1874.4157578470965
202,0.01925731139165948,-3403.158880499992,-1866.9664352848622
203,0.019140215542091527,-3384.8208335402915,-1859.5811341294525
204,0.019029262604531482,-3361.6076280711463,-1852.2587401596875
205,0.018935616901523386,-3335.5589347770274,-1844.9982735379797
206,0.018866924868526057,-3309.6611071818775,-1837.798883099805
207,0.018825612813968304,-3287.2699813880204,-1830.6598177447718
208,0.018808476119899283,-3271.4086155831133,-1823.5803863206615
209,0.018807572444660987,-3264.0771776666065,-1816.5599193659707
210,0.018812125438209083,-3265.7299921701147,-1809.5977431452318
211,0.018810938012009934,-3275.0626115267423,-1802.6931702731213
212,0.018794740474075523,-3289.2055651248056,-1795.8455049136091
213,0.018757964925625984,-3304.332698022422,-1789.0540554520355
214,0.01869961704052629,-3316.562387707044,-1782.3181461811594
215,0.018623154124448652,-3322.89827965518,-1775.6371216246275
216,0.01853550582585927,-3321.8993076810084,-1769.0103411132338
217,0.01844553416965821,-3313.849946942587,-1762.4371661237392
218,0.01836229505738722,-3300.4033760190223,-1755.91694586172
219,0.01829343869791985,-3283.8842947337257,-1749.4490075130238
220,0.018243999326456876,-3266.5441036243656,-1743.0326556500834
221,0.018215711374388533,-3250.01682328586,-1736.6671814364383
222,0.018206881611366146,-3235.0866508918225,-1730.351878734794
223,0.018212763565545173,-3221.7414487799097,-1724.0860615478512
224,0.018226326728614347,-3209.4103563358476,-1717.869076807696
225,0.01823928429942604,-3197.27211557403,-1711.7003081644152
226,0.01824323224872275,-3184.5469991443247,-1705.5791699142287
227,0.01823075401976804,-3170.7207202208547,-1699.5050936308223
228,0.01819635762054031,-3155.678528042914,-1693.4775126149898
229,0.01813713605160545,-3139.7474218630127,-1687.495849827465
230,0.01805307841278346,-3123.65577965396,-1681.5595135677345
231,0.01794700520422754,-3108.4250261471043,-1675.6679025278231
232,0.01782415120390566,-3095.210989025991,-1669.8204181850053
233,0.01769146457614309,-3085.1150263996938,-1664.0164799073102
234,0.017556723826060733,-3078.9878362803493,-1658.255537320166
235,0.017427590334395764,-3077.2518459990224,-1652.5370753358184
236,0.017310713318539055,-3079.7698691522173,-1646.8606096441565
237,0.01721098962902483,-3085.7874745122012,-1641.2256739485706
238,0.017131057798798033,-3093.972852896122,-1635.631802933902
239,0.017071078434623698,-3102.5685538556427,-1630.0785165584518
240,0.01702882345801907,-3109.651249694987,-1624.56531096952
241,0.017000065012775355,-3113.466983155859,-1619.091659127634
242,0.016979220883576746,-3112.7760235643045,-1613.6570214321969
243,0.016960178669825146,-3107.118433153919,-1608.2608631957614
244,0.016937190576997205,-3096.9169290594264,-1602.902673949261
245,0.016905712026565246,-3083.3750361258412,-1597.5819827920757
246,0.016863057911155048,-3068.193425910005,-1592.2983652270468
247,0.01680877432721524,-3053.186491743536,-1587.0514394238808
248,0.016744668934280185,-3039.907362335407,-1581.84085289056
249,0.016674501093565032,-3029.3738730567256,-1576.6662632544726
250,0.016603390713892698,-3021.9438172479545,-1571.5273186163222
251,0.0165370491806524,-3017.3386907022527,-1566.4236426146263
252,0.01648095787257696,-3014.7799624780773,-1561.3548281683115
253,0.016439617314920867,-3013.1875305586445,-1556.3204411240067
254,0.016415967226826728,-3011.392768116274,-1551.3200323568524
255,0.016411042683753627,-3008.3305610112566,-1546.353154590541
256,0.01642389280167946,-3003.1888876803896,-1541.4193791589785
257,0.016451752166655783,-2995.5068552092434,-1536.51830811235
258,0.016490425304897215,-2985.2204566847704,-1531.6495786336877
259,0.016534822250604687,-2972.6601311335426,-1526.812859127658
260,0.016579569143329812,-2958.50615735033,-1522.007838726791
261,0.016619612244649504,-2943.708446425197,-1517.234213366743
262,0.016650737672509176,-2929.377671727091,-1512.4916725575115
263,0.016669943160349285,-2916.6557482957555,-1507.779890523708
264,0.016675621523474866,-2906.5757820239473,-1503.09852377187
265,0.01666754528381965,-2899.9244804475047,-1498.4472151287905
266,0.016646672994428503,-2897.1229431783386,-1493.825602709624
267,0.016614824248349952,-2898.1438150862405,-1489.23333082086
268,0.016574287016233636,-2902.482394033008,-1484.6700595772804
269,0.01652742501986288,-2909.195019254867,-1480.1354704720698
270,0.016476344512920935,-2917.0087107607787,-1475.629266711953
271,0.01642266203589982,-2924.492034531607,-1471.151168355324
272,0.01636739208751955,-2930.26145698502,-1466.700903992963
273,0.016310951253850257,-2933.185161527114,-1462.2782014124111
274,0.016253257387791178,-2932.5430564463404,-1457.8827800133358
275,0.016193891537476662,-2928.1104748313132,-1453.5143469244147
276,0.01613228715348901,-2920.1518160730157,-1449.1725977110991
277,0.016067914583905486,-2909.3327762096274,-1444.8572212016857
278,0.016000436720929576,-2896.577834847178,-1440.5679068843217
279,0.015929821181710727,-2882.907841601603,-1436.304352741977
280,0.01585640319677141,-2869.2901229485287,-1432.0662714340674
281,0.015780899934912142,-2856.52378606649,-1427.8533933446492
282,0.01570438091829534,-2845.170772991627,-1423.6654659331948
283,0.015628201037800594,-2835.532641819144,-1419.5022500805273
284,0.015553903535893117,-2827.6659177989904,-1415.3635147708992
285,0.015483101203125677,-2821.4253222944826,-1411.2490319597687
286,0.015417345466371987,-2816.52332153716,-1407.1585733808092
287,0.015357994898644006,-2812.59535039023,-1403.0919102724185
288,0.015306096272732921,-2809.261963891667,-1399.048816098288
289,0.015262291711505243,-2806.18146891114,-1395.0290716171544
290,0.015226764008319635,-2803.0889616675076,-1391.0324707656923
291,0.015199228504074406,-2799.8197859876504,-1387.0588257065497
292,0.015178974300757922,-2796.317121247153,-1383.1079695950777
293,0.015164950895587156,-2792.6246810709595,-1379.1797558904136
294,0.015155889717701114,-2788.866437451453,-1375.2740541920239
295,0.015150444796476507,-2785.2160672144155,-1371.390743330111
296,0.015147333918035837,-2781.8595474681456,-1367.5297029729745
297,0.015145461699689299,-2778.955131084923,-1363.6908054538333
298,0.015144009004119052,-2776.5957712904233,-1359.8739091788789
299,0.015142478427147528,-2774.779689060681,-1356.0788547345371
300,0.01514069221064944,-2773.394817461861,-1352.3054641669285
301,0.015138745672532886,-2772.221875796463,-1348.5535430500395
302,0.015136925022562824,-2770.9584357804824,-1344.8228845682731
303,0.015135602469405688,-2769.2625260979466,-1341.113274313103
304,0.01513512346183757,-2766.8096831963844,-1337.4244948109072
305,0.015135700793983464,-2763.3531144165954,-1333.7563288198319
306,0.015137328489534217,-2758.7743100795815,-1330.1085610006012
307,0.01513972535971353,-2753.112242102793,-1326.4809781103131
308,0.015142314407581892,-2746.563480924904,-1322.8733681697415
309,0.015144240249805502,-2739.452251929564,-1319.2855193746832
310,0.015144422769177178,-2732.176571446726,-1315.7172193909219
311,0.015141641552383326,-2725.142004439353,-1312.168255601509
312,0.015134642545043035,-2718.6967584585077,-1308.6384164280537
313,0.015122256019255867,-2713.080443605424,-1305.127493615607
314,0.015103513648935751,-2708.3946715694974,-1301.6352850658839
315,0.015077752428202718,-2704.5983504559736,-1298.1615974368428
316,0.015044694434761297,-2701.5255310918615,-1294.7062481068438
317,0.015004493947289498,-2698.920022156704,-1291.269066088588
318,0.014957746895830078,-2696.479185037157,-1287.8498917422553
319,0.014905461619356117,-2693.8992809984884,-1284.4485754847294
320,0.014848993901766671,-2690.915942561277,-1281.064975790774
321,0.014789952744891357,-2687.335326980915,-1277.6989570293072
322,0.0147300859087016,-2683.0536347750494,-1274.3503875062465
323,0.014671155671962323,-2678.0646299153163,-1271.0191379867315
324,0.014614815506728692,-2672.456207310403,-1267.7050808685685
325,0.014562497561766792,-2666.3979246656786,-1264.4080898180957
326,0.0145153192788354,-2660.1217534825523,-1261.1280396069724
327,0.014474015431714527,-2653.898280682756,-1257.864805867985
328,0.014438899660535678,-2648.0103716118892,-1254.6182646715404
329,0.014409857371343492,-2642.7260751541953,-1251.3882916353616
330,0.01438636978329161,-2638.2724381545922,-1248.1747607729753
331,0.014367566956189777,-2634.811869765212,-1244.977543262151
332,0.014352305809157086,-2632.4227972666504,-1241.796506535415
333,0.014339267455267516,-2631.0864587977217,-1238.6315139339351
334,0.014327066692678643,-2630.681661562889,-1235.48242517354
335,0.014314365343604614,-2630.9890966614003,-1232.349097650568
336,0.014299980500133687,-2631.7061706995933,-1229.2313884901284
337,0.01428297880249237,-2632.472259780636,-1226.1291568622598
338,0.014262748765104926,-2632.902845167462,-1223.0422662379544
339,0.014239044893453214,-2632.6293679983555,-1219.9705860558872
340,0.014211999778769425,-2631.3401867563107,-1216.9139924598103
341,0.014182103267748327,-2628.817154758605,-1213.8723679936716
342,0.014150150843125013,-2624.962400973112,-1210.8456002737655
343,0.014117166156933572,-2619.8110756531323,-1207.833579902833
344,0.014084304914849148,-2613.5279278495177,-1204.8361980525733
345,0.014052748798376308,-2606.3881859392504,-1201.853344255388
346,0.014023598735916286,-2598.745706103903,-1198.8849047041258
347,0.013997776614378019,-2590.993176579225,-1195.9307613547167
348,0.013975943565292717,-2583.519962234792,-1192.990791900563
349,0.013958441411569798,-2576.672925235407,-1190.06487061297
350,0.01394526187780528,-2570.7244845820146,-1187.1528696438043
351,0.013936045890302225,-2565.8506696524537,-1184.2546603654023
352,0.013930112852849808,-2562.1203621975737,-1181.3701145366654
353,0.013926517315323253,-2559.495574800451,-1178.4991049919963
354,0.013924128112350392,-2557.84159340759,-1175.6415056960009
355,0.013921723029443235,-2556.9451667747917,-1172.7971913027277
356,0.013918090567493742,-2556.5385358786534,-1169.966036508736
357,0.01391212962811333,-2556.3269176724293,-1167.1479154448684
358,0.01390293808297524,-2556.01700822666,-1164.3427015511588
359,0.013889882272213154,-2555.3441369783723,-1161.5502679870842
360,0.013872641423176891,-2554.095849760091,-1158.7704888611495
361,0.013851223581934014,-2552.130004617043,-1156.0032411606828
362,0.013825952589861459,-2549.38589936383,-1153.2484070386877
363,0.013797428544968657,-2545.8875249349544,-1150.505876161863
364,0.013766466698997719,-2541.738717876377,-1147.775547653074
365,0.0137340215639104,-2537.110717449326,-1145.0573312667198
366,0.01370110395880743,-2532.2233445422107,-1142.3511474601037
367,0.01366869878219895,-2527.321629635977,-1139.656926379906
368,0.013637690537184667,-2522.6501498132548,-1136.9746058676392
369,0.013608802260010043,-2518.427577304203,-1134.304128710672
370,0.013582551749773974,-2514.8239368261065,-1131.6454396293518
371,0.01355922711646866,-2511.9428402780845,-1128.9984823338489
372,0.013538881867308387,-2509.8105251992047,-1126.3631971130294
373,0.013521348188933639,-2508.372901278416,-1123.73951916285
374,0.013506265842215811,-2507.501027875201,-1121.1273777233782
375,0.013493123198565429,-2507.0045723751455,-1118.5266960841277
376,0.01348130640587541,-2506.6518947921236,-1115.9373920377175
377,0.013470152453235691,-2506.1945838635556,-1113.3593787416937
378,0.01345900197512173,-2505.393657432176,-1110.792565557651
379,0.013447247966709356,-2504.0443610054895,-1108.2368587398964
380,0.013434377140291167,-2501.996650844024,-1105.6921617686314
381,0.013420001400636072,-2499.1690166174767,-1103.158375371842
382,0.013403877805435198,-2495.5542495246978,-1100.6353974902943
383,0.013385916342655128,-2491.2168960926965,-1098.1231232870477
384,0.013366175824681399,-2486.2832665057354,-1095.6214454646802
385,0.013344849089477386,-2480.9257725655807,-1093.1302551568083
386,0.013322239436475498,-2475.3439251844575,-1090.6494433023013
387,0.013298730750176891,-2469.744451355407,-1088.178902603068
388,0.013274754042554737,-2464.3227525705834,-1085.7185298809031
389,0.013250753170451355,-2459.2474235974737,-1083.2682284454754
390,0.013227152278795859,-2454.648919758742,-1080.8279102964352
391,0.013204327130317583,-2450.612821832978,-1078.397497662469
392,0.013182581967593199,-2447.1776132132277,-1075.9769237366181
393,0.013162132978299133,-2444.336480499818,-1073.5661324556634
394,0.013143098859229527,-2442.0423932339104,-1071.1650772485343
395,0.013125498447096645,-2440.215600749863,-1068.7737190265532
396,0.013109254937074244,-2438.752662467089,-1066.392023636181
397,0.013094205860307132,-2437.536181246058,-1064.0199591434491
