Iter,RawNAG,SigmoidNAG,SigmoidNAGQG
0,0.1,0.1,0.1
1,0.24468,0.24468,0.31892
2,0.21474,0.24468,0.44442
3,0.1,0.24468,0.43596
4,0.1,0.24468,0.43806
5,0.10614,0.24468,0.43772
6,0.11002,0.24468,0.44234
7,0.10014,0.24468,0.45388
8,0.10002,0.24468,0.47302
9,0.15612,0.24468,0.50018
10,0.14282,0.24468,0.52726
11,0.1,0.24468,0.54744
12,0.10042,0.24468,0.5613
13,0.14514,0.24468,0.56794
14,0.18248,0.24478,0.57076
15,0.20724,0.27646,0.57274
16,0.338,0.39674,0.57482
17,0.30072,0.3628,0.5773
18,0.23502,0.1826,0.58092
19,0.24514,0.25886,0.5851
20,0.30754,0.46254,0.58834
21,0.321,0.51658,0.5919
22,0.35382,0.46674,0.59402
23,0.2947,0.4028,0.59734
24,0.234,0.36802,0.6
25,0.303,0.3772,0.60262
26,0.2569,0.43118,0.60544
27,0.2546,0.49712,0.60824
28,0.30996,0.52352,0.61086
29,0.3708,0.53796,0.61346
30,0.41134,0.51872,0.6162
31,0.43156,0.4477,0.61824
32,0.4337,0.4141,0.62062
33,0.39958,0.42934,0.62286
34,0.43776,0.48712,0.6252
35,0.42934,0.54434,0.62752
36,0.35666,0.56358,0.62994
37,0.36078,0.55214,0.6324
38,0.4195,0.52756,0.63414
39,0.5009,0.50696,0.63634
40,0.53418,0.50566,0.63868
41,0.48992,0.52938,0.64078
42,0.45536,0.56788,0.64318
43,0.45096,0.56358,0.64506
44,0.47292,0.53294,0.64738
45,0.49766,0.51204,0.6495
46,0.50588,0.51044,0.65132
47,0.5237,0.51474,0.65304
48,0.54886,0.51632,0.65502
49,0.53788,0.53004,0.6567
50,0.48964,0.55696,0.65872
51,0.46512,0.5744,0.6604
52,0.48104,0.5642,0.66222
53,0.52358,0.5373,0.664
54,0.5494,0.52352,0.666
55,0.52848,0.53638,0.66782
56,0.5287,0.56618,0.6698
57,0.56034,0.58476,0.67132
58,0.57924,0.58138,0.67328
59,0.56206,0.56892,0.67462
60,0.5412,0.55352,0.67644
61,0.53498,0.55396,0.67742
62,0.54364,0.56824,0.6792
63,0.56498,0.5829,0.68052
64,0.58816,0.58548,0.6819
65,0.59252,0.58178,0.68296
66,0.5793,0.58102,0.68446
67,0.56634,0.58062,0.68566
68,0.56622,0.58126,0.68656
69,0.57838,0.58576,0.68738
70,0.58642,0.59632,0.68852
71,0.5815,0.61142,0.68978
72,0.58214,0.61402,0.69094
73,0.59544,0.60088,0.69202
74,0.60864,0.58664,0.69284
75,0.60694,0.57982,0.69398
76,0.60136,0.58646,0.69548
77,0.60352,0.60264,0.69642
78,0.60876,0.62122,0.69754
79,0.60602,0.63496,0.69854
80,0.59692,0.63582,0.69944
81,0.59122,0.62424,0.70048
82,0.59758,0.61032,0.7013
83,0.61376,0.60142,0.70246
84,0.63472,0.60434,0.70346
85,0.64786,0.61722,0.70444
86,0.64414,0.63364,0.70568
87,0.62506,0.6347,0.70638
88,0.60338,0.6265,0.70706
89,0.59012,0.62354,0.70834
90,0.59206,0.6247,0.70912
91,0.60654,0.6265,0.71002
92,0.62982,0.62716,0.7107
93,0.6513,0.6286,0.71122
94,0.66052,0.63144,0.71194
95,0.6557,0.63082,0.71258
96,0.64222,0.63064,0.7135
97,0.62742,0.63048,0.7142
98,0.61796,0.63658,0.71486
99,0.61722,0.64652,0.7158
100,0.6249,0.65798,0.71638
101,0.6362,0.65742,0.71696
102,0.64704,0.64864,0.71772
103,0.65554,0.63996,0.7184
104,0.65936,0.63662,0.71914
105,0.65586,0.63966,0.71984
106,0.64734,0.6427,0.72042
107,0.64044,0.64398,0.72114
108,0.63808,0.64734,0.72174
109,0.64194,0.65636,0.72236
110,0.6468,0.66268,0.723
111,0.6518,0.6653,0.72372
112,0.65242,0.65974,0.7244
113,0.65294,0.65452,0.72492
114,0.65422,0.65724,0.72542
115,0.65944,0.66398,0.72592
116,0.66344,0.66938,0.72632
117,0.6653,0.66864,0.7271
118,0.66072,0.66506,0.72766
119,0.65296,0.66264,0.72806
120,0.64938,0.66728,0.72882
121,0.65256,0.67186,0.72938
122,0.65652,0.67346,0.73
123,0.66076,0.66918,0.73062
124,0.66182,0.66654,0.73104
125,0.6673,0.6675,0.7314
126,0.6712,0.66938,0.73166
127,0.67656,0.67096,0.73224
128,0.67816,0.67164,0.73252
129,0.67556,0.67324,0.73312
130,0.67056,0.67632,0.73344
131,0.66552,0.68284,0.7338
132,0.6659,0.69118,0.73468
133,0.66992,0.69248,0.73502
134,0.67584,0.69068,0.73568
135,0.68086,0.68648,0.7361
136,0.682,0.68202,0.73672
137,0.68156,0.68166,0.73696
138,0.6785,0.68454,0.73756
139,0.67712,0.68524,0.73798
140,0.67836,0.68592,0.73842
141,0.6816,0.68746,0.73878
142,0.68348,0.69056,0.73912
143,0.68566,0.69314,0.73944
144,0.68484,0.69176,0.7398
145,0.6839,0.68778,0.74022
146,0.68372,0.68324,0.74044
147,0.6835,0.68224,0.74092
148,0.68366,0.685,0.74132
149,0.685,0.69006,0.74178
150,0.68592,0.69562,0.74232
151,0.68946,0.69914,0.7429
152,0.69212,0.70054,0.74336
153,0.69612,0.7005,0.7438
154,0.69776,0.70092,0.74418
155,0.69622,0.70162,0.74452
156,0.692,0.7025,0.74476
157,0.68572,0.704,0.74506
158,0.6818,0.70466,0.74534
159,0.6826,0.7046,0.74572
160,0.68676,0.70464,0.74616
161,0.69488,0.70382,0.7466
162,0.7009,0.70276,0.74702
163,0.7044,0.70014,0.74722
164,0.7034,0.69826,0.74758
165,0.69946,0.69796,0.74772
166,0.69368,0.7006,0.748
167,0.68974,0.70472,0.74838
168,0.68776,0.7092,0.74876
169,0.688,0.71114,0.74922
170,0.69066,0.70946,0.74944
171,0.69462,0.70726,0.7497
172,0.69852,0.70378,0.74998
173,0.7024,0.70314,0.75032
174,0.70456,0.70416,0.7506
175,0.70558,0.70726,0.75104
176,0.70398,0.71114,0.75116
177,0.70132,0.71518,0.75138
178,0.69828,0.7176,0.75174
179,0.69804,0.7184,0.75202
180,0.69866,0.71718,0.75196
181,0.70198,0.71518,0.75212
182,0.70596,0.71332,0.75248
183,0.7073,0.71096,0.7527
184,0.7072,0.7106,0.75296
185,0.70512,0.71312,0.753
186,0.70366,0.7163,0.75342
187,0.70374,0.71982,0.75344
188,0.70396,0.72134,0.7537
189,0.70568,0.72136,0.75404
190,0.70644,0.71918,0.75436
191,0.70638,0.71704,0.75464
192,0.70584,0.7132,0.75482
193,0.70648,0.71098,0.75516
194,0.70604,0.71174,0.75546
195,0.70584,0.71416,0.75586
196,0.70704,0.71752,0.7563
197,0.7075,0.71978,0.75662
198,0.70804,0.72216,0.75686
199,0.71,0.72332,0.75708
200,0.71062,0.7232,0.75732
201,0.71154,0.72234,0.7575
202,0.71436,0.72074,0.75792
203,0.71578,0.72076,0.75824
204,0.71582,0.7212,0.75836
205,0.71414,0.72228,0.75866
206,0.71104,0.7247,0.75864
207,0.70788,0.72562,0.75892
208,0.70672,0.72678,0.75908
209,0.70904,0.72744,0.7592
210,0.71104,0.72582,0.7593
211,0.71352,0.7243,0.7595
212,0.7174,0.7201,0.75976
213,0.71828,0.71804,0.7597
214,0.71816,0.7165,0.75978
215,0.71722,0.7178,0.75988
216,0.71598,0.72108,0.7599
217,0.71578,0.72338,0.76
218,0.71488,0.72674,0.76034
219,0.71536,0.72842,0.76048
220,0.715,0.72878,0.76072
221,0.71548,0.72854,0.76102
222,0.71626,0.72708,0.76114
223,0.71922,0.72544,0.76148
224,0.72154,0.72482,0.76154
225,0.72352,0.72398,0.76176
226,0.72392,0.72414,0.76196
227,0.72262,0.72578,0.76204
228,0.7199,0.72738,0.76202
229,0.71728,0.72756,0.7623
230,0.71554,0.7281,0.76248
231,0.71512,0.72882,0.76236
232,0.71656,0.72856,0.7625
233,0.7181,0.72728,0.76266
234,0.72012,0.72636,0.7628
235,0.72248,0.72606,0.76298
236,0.72478,0.7268,0.76312
237,0.72542,0.72796,0.76336
238,0.72572,0.72938,0.7635
239,0.72586,0.73132,0.76358
240,0.72514,0.73218,0.76384
241,0.72466,0.73262,0.76408
242,0.72354,0.73374,0.76418
243,0.72372,0.73308,0.76438
244,0.72334,0.73296,0.76454
245,0.72418,0.73254,0.76448
246,0.72522,0.73174,0.76494
247,0.72556,0.73102,0.76502
248,0.72676,0.7305,0.76528
249,0.72636,0.73048,0.76528
250,0.72514,0.72956,0.76546
251,0.72384,0.72886,0.76556
252,0.72218,0.72866,0.76564
253,0.72222,0.72872,0.7658
254,0.72294,0.72968,0.76598
255,0.72412,0.73006,0.76622
256,0.7258,0.73106,0.76632
257,0.72662,0.73158,0.76658
258,0.72712,0.73274,0.76666
259,0.72728,0.73368,0.76678
260,0.72676,0.73428,0.76698
261,0.72584,0.7357,0.76708
262,0.72516,0.73636,0.76728
263,0.72466,0.73694,0.76738
264,0.72536,0.73732,0.76748
265,0.72648,0.73704,0.76758
266,0.72742,0.73684,0.76774
267,0.72884,0.7371,0.76804
268,0.73154,0.73646,0.76832
269,0.73366,0.73752,0.76854
270,0.7345,0.73738,0.76862
271,0.73454,0.7377,0.7687
272,0.7329,0.73674,0.76888
273,0.73048,0.73656,0.76902
274,0.72804,0.73652,0.76926
275,0.72648,0.7357,0.76938
276,0.72574,0.73518,0.76956
277,0.72606,0.73506,0.76978
278,0.72704,0.73432,0.76988
279,0.72954,0.73424,0.77008
280,0.73216,0.73496,0.77016
